Service Operations for: ,Current Account,,,,
,3,in,Account Sweep Target Account,BQ Account Sweep Instance Record,
,4,in,Account Sweep Amount,BQ Account Sweep Instance Record,
,5,in,Account Sweep Execution Date,BQ Account Sweep Instance Record,
,,,,,
Get,/current-account/{sd-identifier}/account-sweep/{crbq-identifier}/retrieval,,,,
,1,out,Account Sweep Instance Record,BQ Account Sweep Instance Record,
,2,out,Account Sweep Type,BQ Account Sweep Instance Record,
,3,out,Account Sweep Definition,BQ Account Sweep Instance Record,
,4,out,Account Sweep Application Schedule,BQ Account Sweep Instance Record,
,5,out,Account Sweep Configuration,BQ Account Sweep Instance Record,
,6,out,Target Account,BQ Account Sweep Instance Record,
,7,out,Sweep Mandate,BQ Account Sweep Instance Record,
,8,out,Sweep Processing Schedule,BQ Account Sweep Instance Record,
,9,out,Sweep Application Record,BQ Account Sweep Instance Record,
,10,out,Account Sweep Target Account,BQ Account Sweep Instance Record,
,11,out,Account Sweep Amount,BQ Account Sweep Instance Record,
,12,out,Account Sweep Execution Date,BQ Account Sweep Instance Record,
,,,,,
Post,/current-account/{sd-identifier}/deposits-and-withdrawals/{crbq-identifier}/initiation,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,in,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,in,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,in,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
,5,in,Bank Branch/Location Reference,CR Current Account Arrangement Instance Record,
,6,in,Account Type,CR Current Account Arrangement Instance Record,AccountType
,7,in,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,8,in,Entitlement Option Setting,CR Current Account Arrangement Instance Record,
,9,in,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,10,in,Position Limit Type,CR Current Account Arrangement Instance Record,
,11,out,Position Limit Value,CR Current Account Arrangement Instance Record,
,12,inout,Date Type,CR Current Account Arrangement Instance Record,
,13,inout,Deposits & Withdrawals Instance Record,BQ Deposits and Withdrawals Instance Record,
,14,in,Deposit Type,BQ Deposits and Withdrawals Instance Record,
,15,in,Withdrawal Type,BQ Deposits and Withdrawals Instance Record,
,16,in,Account Limit Breach Response,BQ Deposits and Withdrawals Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/deposits-and-withdrawals/{crbq-identifier}/update,,,,
,1,inout,Deposits & Withdrawals Instance Record,BQ Deposits and Withdrawals Instance Record,
,2,inout,Deposit Type,BQ Deposits and Withdrawals Instance Record,
,3,inout,Withdrawal Type,BQ Deposits and Withdrawals Instance Record,
,4,inout,Account Limit Breach Response,BQ Deposits and Withdrawals Instance Record,
,5,inout,Deposit Transaction,BQ Deposits and Withdrawals Instance Record,
,6,inout,Deposit Transaction Source Reference,BQ Deposits and Withdrawals Instance Record,
,7,inout,Deposit Transaction Deposit Type,BQ Deposits and Withdrawals Instance Record,
,8,inout,Deposit Transaction Description,BQ Deposits and Withdrawals Instance Record,
,9,inout,Deposit Transaction Amount,BQ Deposits and Withdrawals Instance Record,
,10,inout,Deposit Transaction Date,BQ Deposits and Withdrawals Instance Record,
,11,inout,Withdrawal Transaction,BQ Deposits and Withdrawals Instance Record,
,12,inout,Withdrawal Transaction Source Reference,BQ Deposits and Withdrawals Instance Record,
,13,inout,Withdrawal Transaction Withdrawal Type,BQ Deposits and Withdrawals Instance Record,
,14,inout,Withdrawal Transaction Description,BQ Deposits and Withdrawals Instance Record,
,15,inout,Wihdrawal Transaction Amount,BQ Deposits and Withdrawals Instance Record,
,16,inout,Withdrawal Transaction Date,BQ Deposits and Withdrawals Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/deposits-and-withdrawals/{crbq-identifier}/execution,,,,
,1,in,Deposits & Withdrawals Instance Record,BQ Deposits and Withdrawals Instance Record,
,2,in,Deposit Transaction,BQ Deposits and Withdrawals Instance Record,
,3,in,Deposit Transaction Source Reference,BQ Deposits and Withdrawals Instance Record,
,4,in,Deposit Transaction Deposit Type,BQ Deposits and Withdrawals Instance Record,
,5,in,Deposit Transaction Description,BQ Deposits and Withdrawals Instance Record,
,6,in,Deposit Transaction Amount,BQ Deposits and Withdrawals Instance Record,
,7,inout,Deposit Transaction Date,BQ Deposits and Withdrawals Instance Record,
,8,in,Withdrawal Transaction,BQ Deposits and Withdrawals Instance Record,
,9,in,Withdrawal Transaction Source Reference,BQ Deposits and Withdrawals Instance Record,
,10,in,Withdrawal Transaction Withdrawal Type,BQ Deposits and Withdrawals Instance Record,
,11,in,Withdrawal Transaction Description,BQ Deposits and Withdrawals Instance Record,
,12,in,Wihdrawal Transaction Amount,BQ Deposits and Withdrawals Instance Record,
,13,inout,Withdrawal Transaction Date,BQ Deposits and Withdrawals Instance Record,
,,,,,
Get,/current-account/{sd-identifier}/deposits-and-withdrawals/{crbq-identifier}/retrieval,,,,
,1,out,Deposits & Withdrawals Instance Record,BQ Deposits and Withdrawals Instance Record,
,2,out,Deposit Type,BQ Deposits and Withdrawals Instance Record,
,3,out,Withdrawal Type,BQ Deposits and Withdrawals Instance Record,
,4,out,Account Limit Breach Response,BQ Deposits and Withdrawals Instance Record,
,5,out,Deposit Transaction,BQ Deposits and Withdrawals Instance Record,
,6,out,Deposit Transaction Source Reference,BQ Deposits and Withdrawals Instance Record,
,7,out,Deposit Transaction Deposit Type,BQ Deposits and Withdrawals Instance Record,
,8,out,Deposit Transaction Description,BQ Deposits and Withdrawals Instance Record,
,9,out,Deposit Transaction Amount,BQ Deposits and Withdrawals Instance Record,
,10,out,Deposit Transaction Date,BQ Deposits and Withdrawals Instance Record,
,11,out,Withdrawal Transaction,BQ Deposits and Withdrawals Instance Record,
,12,out,Withdrawal Transaction Source Reference,BQ Deposits and Withdrawals Instance Record,
,13,out,Withdrawal Transaction Withdrawal Type,BQ Deposits and Withdrawals Instance Record,
,14,out,Withdrawal Transaction Description,BQ Deposits and Withdrawals Instance Record,
,15,out,Wihdrawal Transaction Amount,BQ Deposits and Withdrawals Instance Record,
,16,out,Withdrawal Transaction Date,BQ Deposits and Withdrawals Instance Record,
,,,,,
Post,/current-account/{sd-identifier}/payments/{crbq-identifier}/initiation,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,in,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,in,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,in,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
,5,in,Bank Branch/Location Reference,CR Current Account Arrangement Instance Record,
,6,in,Account Type,CR Current Account Arrangement Instance Record,AccountType
,7,in,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,8,out,Tax Reference,CR Current Account Arrangement Instance Record,
,9,in,Entitlement Option Setting,CR Current Account Arrangement Instance Record,
,10,in,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,11,out,Association Type,CR Current Account Arrangement Instance Record,
,12,out,Association Obligation/Entitlement,CR Current Account Arrangement Instance Record,
,13,out,Association Reference,CR Current Account Arrangement Instance Record,
,14,out,Position Limit Settings,CR Current Account Arrangement Instance Record,
,15,in,Position Limit Value,CR Current Account Arrangement Instance Record,
,16,inout,Date Type,CR Current Account Arrangement Instance Record,
,17,inout,Payments Instance Record,BQ Payments Instance Record,
,18,in,Payment Type,BQ Payments Instance Record,
,19,inout,Payment Definition,BQ Payments Instance Record,
,20,out,Payment Processinng Option Definition,BQ Payments Instance Record,
,21,in,Payment Processing Option Setting,BQ Payments Instance Record,
,22,in,Payment Configuration,BQ Payments Instance Record,
,23,in,Payment Schedule,BQ Payments Instance Record,
,24,in,Direct Debit Mandate Reference,BQ Payments Instance Record,
,25,in,Direct Debit Mandate Settings,BQ Payments Instance Record,
,26,in,Bill Pay Mandate Reference,BQ Payments Instance Record,
,27,in,Bil Pay Mandate Settings,BQ Payments Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/payments/{crbq-identifier}/update,,,,
,1,inout,Payments Instance Record,BQ Payments Instance Record,
,2,inout,Payment Type,BQ Payments Instance Record,
,3,inout,Payment Processinng Option Definition,BQ Payments Instance Record,
,4,inout,Payment Processing Option Setting,BQ Payments Instance Record,
,5,inout,Payment Configuration,BQ Payments Instance Record,
,6,inout,Payment Schedule,BQ Payments Instance Record,
,7,inout,Direct Debit Mandate Reference,BQ Payments Instance Record,
,8,inout,Direct Debit Mandate Settings,BQ Payments Instance Record,
,9,inout,Bill Pay Mandate Reference,BQ Payments Instance Record,
,10,inout,Bil Pay Mandate Settings,BQ Payments Instance Record,
,11,inout,Payment Transaction,BQ Payments Instance Record,
,12,inout,Payment Transaction Type,BQ Payments Instance Record,
,13,inout,Payment Transaction Payee Reference,BQ Payments Instance Record,
,14,inout,Payment Transaction Payee Account Reference,BQ Payments Instance Record,
,15,inout,Payment Transaction Payee Bank Reference,BQ Payments Instance Record,
,16,inout,Payment Transaction Amount,BQ Payments Instance Record,
,17,inout,Payment Transaction Fee Type,BQ Payments Instance Record,
,18,inout,Payment Transaction Fee Charge,BQ Payments Instance Record,
,19,inout,Payment Transaction Date,BQ Payments Instance Record,
,20,inout,Payment Transaction Payment Mechanism,BQ Payments Instance Record,
,21,inout,Payment Transaction Payment Purpose,BQ Payments Instance Record,
,22,inout,Payment Transaction Bank Branch/Location Reference,BQ Payments Instance Record,
,23,out,Payment Transaction Status,BQ Payments Instance Record,
,,,,,
